RUN30_assembly_contig_66	0.186776698	1.866412903	17.27245634	5.541797135	5.354689548	9.816454094	0.698187216
RUN30_assembly_contig_67	0	0	2.908326263	0	0	0	0
RUN30_assembly_contig_68	2.625277875	2.998370873	7.977755366	2.278100882	3.261650768	2.565886445	3.192839809
RUN30_assembly_contig_69	0	0	6.48094989	1.637426166	0	0	0
RUN30_assembly_contig_70	0.906575737	5.651429367	18.32542314	7.751683433	10.7226769	6.913182961	0
RUN30_assembly_contig_71	1.194546853	3.556303022	6.109929124	1.496188898	0.413603738	1.175203795	0
RUN30_assembly_contig_72	0	14.38604042	5.365648055	10.89023589	36.02755629	9.607638552	0
RUN30_assembly_contig_73	0.754117111	0.780901967	0.551028091	0.839594359	2.387272502	2.261046383	0.213827107
RUN30_assembly_contig_74	11.82450176	28.74792448	7.713463266	13.54636662	47.23110361	5.844614094	1.473933408
RUN30_assembly_contig_75	0	0	1.579753538	2.750914273	0	0.675233275	0
RUN30_assembly_contig_76	18.19290383	0.252027858	0.591312991	0.643554243	0.316011845	0.266046968	0.100640224
RUN30_assembly_contig_77	0.108595168	3.598472623	9.220438497	8.584194889	2.857625824	5.22312798	0.718474327
RUN30_assembly_contig_78	0	0	0	0	0	0	10.55205856
RUN30_assembly_contig_79	0	0.056376875	4.009948122	6.485713685	0	4.427756212	0.144080106
RUN30_assembly_contig_80	0	0.335116723	11.91801314	7.025928211	0.896416069	17.54638053	0
RUN30_assembly_contig_81	0	57.03010697	9.642255099	18.46087427	1037.927272	162.1797104	0
RUN30_assembly_contig_82	0	0	1.56783087	0	0	0	0
RUN30_assembly_contig_83	0	2.107759204	1.936947228	1.475650692	0.852274369	6.540476342	3.852127738
RUN30_assembly_contig_84	0.064060872	2.421271184	1.867672341	14.15741868	1.907535219	1.176439551	0
RUN30_assembly_contig_85	0	0.517096092	30.82008511	64.86210523	0	14.70182089	0
RUN30_assembly_contig_86	0.205124207	0	50.78029983	154.7237318	0	7.26489619	0
RUN30_assembly_contig_87	0	1.201632822	39.17337416	220.5538501	0	6.668548702	0
RUN30_assembly_contig_88	0	0.967360487	96.15542785	13.57039871	0	94.18106386	0
RUN30_assembly_contig_89	1.149469613	2.512848512	26.78377736	56.02500762	0.530661399	8.93516233	0
RUN30_assembly_contig_90	0	0	3.752088634	8.067555996	0	0	0
RUN30_assembly_contig_91	2.628776246	0	1.613495846	0	0.546117557	0	0
RUN30_assembly_contig_92	0	0	1.182246448	0	1.143294885	0	0
RUN30_assembly_contig_93	0.08188426	0	0	0	7.258078493	0	0
RUN30_assembly_contig_94	7.36497021	0	0	0.15921885	0	0	0
RUN30_assembly_contig_95	3.001078301	0	0.204667577	1.559246668	0.554188259	0	0
RUN30_assembly_contig_96	2.208648562	0.50824349	0.125521203	0.27322147	2.37915866	0	0
RUN30_assembly_contig_97	0	0	0.653262862	1.279759057	0	0	0
RUN30_assembly_contig_98	0	0	3.722895882	0	0	0	0
RUN30_assembly_contig_99	0.772560193	0	1.467711235	0	0	0	0
RUN30_assembly_contig_100	0	6.933499582	3.965489792	0.686609704	7.56509049	13.63678272	0
